category,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年
世帯数分布(抽出率調整),10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
集計世帯数,8638,8633,8620,8625,8606,8605,8563,8535,8521,8531,8526,8365,8489,8478,8467,8471,8400,8395,8319,8182,8167,8088,7999,7909
世帯人員(人),2.7,2.67,2.63,2.62,2.59,2.57,2.55,2.54,2.52,2.49,2.47,2.47,2.45,2.44,2.41,2.38,2.35,2.33,2.33,2.3,2.27,2.25,2.22,2.2
18歳未満人員(人),0.54,0.52,0.51,0.49,0.49,0.47,0.46,0.46,0.46,0.46,0.44,0.44,0.42,0.41,0.41,0.39,0.38,0.37,0.38,0.38,0.37,0.35,0.35,0.34
65歳以上人員(人),0.48,0.5,0.51,0.53,0.53,0.55,0.57,0.59,0.59,0.59,0.6,0.62,0.64,0.67,0.69,0.71,0.72,0.74,0.72,0.71,0.72,0.71,0.71,0.71
うち無職者人員(人),0.38,0.4,0.42,0.42,0.43,0.45,0.47,0.49,0.48,0.48,0.5,0.51,0.52,0.54,0.56,0.57,0.58,0.59,0.58,0.57,0.58,0.57,0.56,0.56
有業人員(人),1.29,1.27,1.22,1.21,1.19,1.19,1.17,1.16,1.15,1.13,1.11,1.09,1.09,1.09,1.07,1.09,1.08,1.06,1.08,1.07,1.06,1.06,1.05,1.05
世帯主の年齢(歳),52.3,52.9,53.2,53.5,53.9,54.7,55,55.5,55.6,55.7,56.4,56.9,57.5,58,58.3,58.9,59,59.3,59.3,59.3,59.3,59.4,59.5,59.5
持家率(％),66.8,67.3,67,68.3,68.1,69.2,69.4,71.5,72.5,71.4,71.9,71,73.7,75.4,74.7,75.1,75.7,76.5,75.8,76.4,76.4,74.4,75,75.9
家賃・地代を支払っている世帯の割合(％),30.2,29.9,29.6,28.4,28.7,27.6,27.2,25.7,25.4,26.4,25.6,26.3,23.7,22.3,23.1,22.3,21.8,21,21.6,21.2,21.2,22.2,22.2,21.3
